P1,P2,P3,P4,P5,C ,D 
34.68,506.76,5.2,2014,1,278894.88,68
35.36,477.36,5.1,2014,1,254540,66
70.04,664,7,2014,1,334432.12,69
24.24,817.95,4.04,2014,1,325468,71
52.52,1133,13.26,2014,1,454980.24,79
29.29,452.48,7.35,2014,1,306392.46,65
37.8,757.5,8.16,2014,1,351030.24,71
27.54,299,6,2014,1,246539.04,63
47.47,714,6.3,2014,1,319449.9,74
23.92,802.95,5,2014,1,322799.4,73
31.5,817.95,3.12,2014,1,341906.4,71
26.986,611.52,3,2014,1,286070.4,71
24.72,540.6,8,2011,1,283938.6336,82
37,687.48,9.45,2012,1,275046.08,85
37,772.5,6.12,2011,1,251174.8008,72
41.82,321,5,2014,1,243538.7,65
63.86,1091,10.4,2015,1,535125.404,79
76.76,1339,12.12,2014,1,545664.68,85
79.8,1352,12,2014,1,550812.46,84
52,1050.6,9.09,2010,1,298151.3304,78
51,1287.75,12.24,2010,1,371933.54,83
71,956,9.09,2010,1,367527.5062,94
71,988.8,9.45,2014,1,429675.84,77
45.15,824,8.16,2010,1,305121.5352,92
43.43,1323.55,2.1,2014,1,448488.48,85
37.74,433.68,7.21,2010,1,220946.2482,76
38.11,999.44,1,2014,1,246153.6,78
52.52,1420.86,13.52,2014,1,571628.2,87
47.84,489.84,7.14,2015,1,333576.188,67
88.88,1127.85,6.12,2014,1,447796.8,106
88.88,1138.8,15.15,2014,1,433693.44,82
62,1341.6,13,2015,1,547815.4,84
53,592.8,9.09,2014,1,331308.28,83
47.25,1041.6,9.09,2014,1,462128.72,101
43.05,858.5,8.24,2014,1,440305.8,93
58.24,735,9.27,2015,1,410201.768,87
58.8,727.2,9,2012,1,322211.7184,70
36.4,380.77,6.18,2012,1,216905.3832,66
52,316.2,7.35,2015,1,316948.28,69
28,291.2,5.2,2013,1,223332.12,63
28.84,288.4,5.25,2015,1,255591.204,61
28.08,481.77,5,2010,1,201772.0584,65
28,285.6,5.25,2015,1,270480.012,61
27.27,488.8,5.05,2014,1,279120.96,75
32.24,781.74,11.44,2011,1,340179.817,87
51.51,473.2,6.24,2014,1,299923.14,64
105,1534.19,15.15,2012,1,549999.612,92
103,1510.62,15.6,2014,1,557627.88,123
82.16,918.09,12,2012,1,403970.786,78
43.05,558.6,8.08,2012,1,254289.6752,67
43.86,560.32,6.3,2014,1,282659.6,70
90.9,721,13.65,2015,1,539601.792,85
40.56,505,8,2014,1,314769.96,79
47.84,488.8,7.21,2014,1,278388,65
38,545.9,7.07,2010,1,214986.8688,67
67,1150,11.55,2011,1,419445.4168,104
69.01,1184.5,10,2011,1,372418.4464,81
65.65,875,15.3,2010,1,350210.784,79
77.7,1758.75,11.11,2014,1,732278.8,129
55.08,1226.16,10.3,2014,1,433425.52,81
70.7,953.4,10,2014,1,487459.86,98
33.6,648.9,6.3,2014,1,357258.72,80
70.7,123.76,10,2015,1,321143.68,60
70.7,904.8,11.11,2010,1,338597.4768,77
33.6,612,6.06,2010,1,225448.1922,68
101.85,1174.2,4,2014,1,522460.8,82
51,904.8,13.26,2014,1,395017.48,79
45,646.8,9.18,2014,1,355143.8,69
59.16,1323.1,9.18,2011,1,385645.5372,87
56.56,884,8.16,2011,1,333304.4946,77
82.4,1399,12,2011,1,467429.7782,84
51,624,11.22,2011,1,258454.5964,68
32.32,787.95,8.16,2011,1,277721.136,70
27,404,7.35,2014,1,264012.32,67
27.81,512.07,7.35,2014,1,297369.6,70
39.14,1074.32,6.3,2014,1,362297.1,79
31.5,668.1,5.05,2013,1,306512.578,81
81.6,962.02,9.09,2014,1,615600,79
77,1420.86,17.68,2014,1,701252.64,90
45,621.09,6.24,2014,1,287408.1,67
61,1068.9,12.6,2012,1,396752.4572,81
45.9,634.4,7.28,2013,1,302663.784,83
46.35,648.9,7.28,2013,1,283354.236,71
64.26,1543.97,12.48,2013,1,530618.616,86
53,1248,27,2013,1,530955.81,89
54.59,1325,11.55,2013,1,499598.352,83
29.4,207.9,5.15,2014,1,225737.6,62
53.55,365,5,2012,1,201587.4388,66
53.04,373.36,7.28,2013,1,249100.138,71
52.02,321.36,7.28,2013,1,246142.71,62
28.84,330.27,5.05,2014,1,242139.04,62
41.6,1081.6,11.11,2014,1,429878,79
63.63,2035.15,13.13,2014,1,509371.28,97
58.24,1923.6,3,2014,1,491091.48,91
52.02,1730,7,2014,1,568077.84,95
47.38,1431.7,10,2014,1,499561.92,86
39,1135,10,2014,1,418960.74,80
41.6,1020,3.06,2014,1,369115.56,75
25.5,530,4,2014,1,260350.26,66
25.5,663.32,8.32,2014,1,293023.78,69
26.26,462,8.32,2014,1,283348.84,65
40.17,409.02,5.05,2014,1,281769.84,66
30.9,420,5.15,2014,1,258712.08,65
19.19,380.64,5.2,2014,1,245996.96,65
24.24,501.28,5.1,2014,1,276645.6,68
57,1213.34,13,2014,1,515121.2,86
53.04,460.95,5.05,2014,1,263598.4,66
35.02,913.5,10.4,2014,1,382092.92,76
62.4,1258,11.11,2013,1,514988.1,82
45.45,858.5,7.07,2013,1,332820.576,76
29.87,346.5,6.24,2012,1,222999.0048,68
26,309,5,2012,1,200136.3076,68
20.6,405.6,5,2014,1,238104.96,62
33.28,263.55,4,2014,1,227904.6,59
41.2,887.4,10,2014,1,366614.64,77
34.34,408,4,2014,1,241997.8,64
34.68,506.76,5.2,2014,1,276312.52,64
35.36,472.68,5.15,2014,1,267267,65
68.68,664,7,2014,1,328122.08,72
24.96,794.58,4,2014,1,325468,72
52,1144,13.13,2014,1,442341.9,83
30.16,461.44,7.35,2014,1,289526.82,67
37.44,750,8.16,2014,1,357530.8,74
27.54,310.96,6.06,2014,1,241887.36,65
47.94,735,6.18,2014,1,325534.66,69
23.92,834.75,5.05,2014,1,316470,74
30.3,817.95,3.15,2014,1,338740.6,74
27.248,588,3,2014,1,288719.2,67
24.24,530,8.4,2011,1,306428.8224,80
38.11,680.74,9.36,2012,1,286047.9232,88
37.74,780,6.24,2011,1,232569.26,74
42.64,324.21,5.25,2014,1,234601.5,65
62.62,1091,10.5,2015,1,500117.2,82
79.8,1326,12.6,2014,1,566255.8,87
76,1300,12,2014,1,530221.34,84
50,1020,9.27,2010,1,286900.3368,81
51,1287.75,12.12,2010,1,390530.217,82
71.71,994.24,9.45,2010,1,382083.051,100
71.71,1008,9.09,2014,1,437632.8,80
44.29,800,8.32,2010,1,302296.3358,90
43.86,1285,2.1,2014,1,466250.4,81
38.11,433.68,7.07,2010,1,210811.0992,72
38.48,1009.05,1.02,2014,1,241464.96,77
53.04,1434.79,13.65,2014,1,561234.96,85
47.38,494.55,7.35,2015,1,318274.528,65
88,1149.75,6,2014,1,419300.64,101
88,1138.8,15.6,2014,1,405583.68,83
63.86,1302.9,13.39,2015,1,597118.786,87
55.12,592.8,9,2014,1,347709.68,80
45.9,1021.76,9.09,2014,1,436214.96,101
42.23,858.5,8.32,2014,1,436303.02,90
56.56,735,9.09,2015,1,425681.08,88
57.68,727.2,9,2012,1,312917.1496,71
35.35,388.31,6.18,2012,1,220997.9376,65
51.5,319.3,7,2015,1,296778.844,71
29.4,282.8,5.1,2013,1,213180.66,64
29.4,288.4,5.15,2015,1,267998.544,64
28.08,491.31,5.05,2010,1,201772.0584,67
29.12,294,5.25,2015,1,255591.204,64
28.08,484.1,5.15,2014,1,298276.32,76
32.55,804.96,11.44,2011,1,336811.7,86
52.02,464.1,6.06,2014,1,280302,66
103,1594.95,15.6,2012,1,539907.876,90
105,1540.24,15.45,2014,1,563094.82,123
82.16,945.36,12.24,2012,1,389146.17,75
41.82,532,8.16,2012,1,263885.512,70
43,565.76,6.06,2014,1,290659.4,70
90.9,749.84,13.65,2015,1,582342.528,86
40.95,525.2,8.24,2014,1,320941.92,80
47.38,493.5,7.14,2014,1,289523.52,67
38.38,540.6,7.28,2010,1,229740.8696,67
67.67,1173,11,2011,1,407228.56,105
67,1207.5,10.3,2011,1,383161.2862,79
65,901.25,15.6,2010,1,337475.8464,78
74,1691.75,11,2014,1,698993.4,126
54,1179,10.1,2014,1,445692.28,83
70.7,917.08,10.4,2014,1,511122.96,99
32,630,6.06,2014,1,343518,80
70,122.57,10.3,2015,1,321143.68,61
72.8,870,11.55,2010,1,338597.4768,78
32.32,600,6.18,2010,1,240769.914,67
97.97,1151.4,4.08,2014,1,493435.2,80
52.5,870,13.65,2014,1,380111.16,75
46.8,628.32,9.45,2014,1,348627.4,71
60.32,1310,9.45,2011,1,389426.3758,84
56,884,8.24,2011,1,321073.137,73
80,1454.96,12.24,2011,1,441218.7626,88
50.5,606,11.55,2011,1,266131.4656,72
32.96,795.6,8.32,2011,1,275196.3984,74
28.08,408,7.21,2014,1,279243.8,66
27,532.35,7.35,2014,1,270336,66
38.76,1084.65,6.3,2014,1,376645.5,79
30.9,674.65,5.1,2013,1,306512.578,85
80,952.68,9.09,2014,1,581400,76
80.08,1448.72,17.34,2014,1,662294.16,87
46.8,633.15,6.06,2014,1,276459.22,69
63.44,1038.36,12.6,2012,1,400392.388,78
46.8,610,7.35,2013,1,317500.244,82
45.9,661.5,7.21,2013,1,280603.224,71
64.89,1558.96,12.12,2013,1,510595.272,90
54.06,1248,27.27,2013,1,546125.976,84
53,1351.5,11.22,2013,1,494885.16,86
28,199.98,5.15,2014,1,221478.4,60
51.51,372.3,5.15,2012,1,215287.556,64
52.02,366.18,7.07,2013,1,251566.476,71
53.55,312,7.35,2013,1,246142.71,62
28,327,5.05,2014,1,237482.52,63
40.4,1081.6,11,2014,1,451371.9,81
64.26,2015,13.52,2014,1,509371.28,102
57.68,1850.32,3,2014,1,486501.84,91
53.55,1781.9,7.07,2014,1,547037.92,92
46.46,1445.6,10.1,2014,1,480348,87
39,1191.75,10.5,2014,1,414893.16,83
40.8,1050,3.15,2014,1,372734.34,78
25.5,551.2,4.2,2014,1,257917.08,70
25.75,656.88,8.08,2014,1,282069.62,69
26.26,485.1,8,2014,1,291293.2,65
40.17,405.01,5,2014,1,281769.84,65
31.2,412,5.2,2014,1,251390.04,66
19.95,369.66,5,2014,1,248385.28,63
24.72,501.28,5.25,2014,1,279280.32,65
58.14,1236.9,13.65,2014,1,477657.84,84
52.52,452.17,5,2014,1,276271.4,65
34.34,896.1,10,2014,1,374673.64,74
61.8,1283.16,11.33,2013,1,468171,86
47.25,867,7.21,2013,1,332820.576,74
30.16,339.9,6.06,2012,1,214739.7824,68
26.26,312,5.25,2012,1,212025.5932,72
20.2,397.8,5.2,2014,1,224753.28,65
